2026-07-14 02:00:19 status unpacked cpp-14:amd64 14.2.0-19
2026-07-14 02:00:19 install cpp-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2026-07-14 02:00:19 status half-installed cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-07-14 02:00:19 status unpacked cpp-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-07-14 02:00:19 install cpp:amd64 <none> 4:14.2.0-1
2026-07-14 02:00:19 status half-installed cpp:amd64 4:14.2.0-1
2026-07-14 02:00:19 status unpacked cpp:amd64 4:14.2.0-1
2026-07-14 02:00:19 install libgpg-error0:amd64 <none> 1.51-4
2026-07-14 02:00:19 status half-installed libgpg-error0:amd64 1.51-4
2026-07-14 02:00:19 status unpacked libgpg-error0:amd64 1.51-4
2026-07-14 02:00:19 install libassuan9:amd64 <none> 3.0.2-2
2026-07-14 02:00:19 status half-installed libassuan9:amd64 3.0.2-2
2026-07-14 02:00:19 status unpacked libassuan9:amd64 3.0.2-2
2026-07-14 02:00:19 install libgcrypt20:amd64 <none> 1.11.0-7+deb13u1
2026-07-14 02:00:19 status half-installed libgcrypt20:amd64 1.11.0-7+deb13u1
2026-07-14 02:00:19 status unpacked libgcrypt20:amd64 1.11.0-7+deb13u1
2026-07-14 02:00:19 install libreadline8t64:amd64 <none> 8.2-6
2026-07-14 02:00:19 status half-installed libreadline8t64:amd64 8.2-6
2026-07-14 02:00:19 status unpacked libreadline8t64:amd64 8.2-6
2026-07-14 02:00:19 install gpgconf:amd64 <none> 2.4.7-21+deb13u1+b4
2026-07-14 02:00:19 status half-installed gpgconf:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:19 status unpacked gpgconf:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:19 install libksba8:amd64 <none> 1.6.7-2+b1
2026-07-14 02:00:19 status half-installed libksba8:amd64 1.6.7-2+b1
2026-07-14 02:00:19 status unpacked libksba8:amd64 1.6.7-2+b1
2026-07-14 02:00:19 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-9
2026-07-14 02:00:19 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-07-14 02:00:19 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-9
2026-07-14 02:00:19 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-9
2026-07-14 02:00:19 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-9
2026-07-14 02:00:19 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-9
2026-07-14 02:00:19 install libldap2:amd64 <none> 2.6.10+dfsg-1
2026-07-14 02:00:19 status half-installed libldap2:amd64 2.6.10+dfsg-1
2026-07-14 02:00:19 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-07-14 02:00:19 install libnpth0t64:amd64 <none> 1.8-3
2026-07-14 02:00:19 status half-installed libnpth0t64:amd64 1.8-3
2026-07-14 02:00:19 status unpacked libnpth0t64:amd64 1.8-3
2026-07-14 02:00:20 install dirmngr:amd64 <none> 2.4.7-21+deb13u1+b4
2026-07-14 02:00:20 status half-installed dirmngr:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:20 status unpacked dirmngr:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:20 install libdpkg-perl:all <none> 1.22.22
2026-07-14 02:00:20 status half-installed libdpkg-perl:all 1.22.22
2026-07-14 02:00:20 status unpacked libdpkg-perl:all 1.22.22
2026-07-14 02:00:20 install patch:amd64 <none> 2.8-2
2026-07-14 02:00:20 status half-installed patch:amd64 2.8-2
2026-07-14 02:00:20 status unpacked patch:amd64 2.8-2
2026-07-14 02:00:20 install make:amd64 <none> 4.4.1-2
2026-07-14 02:00:20 status half-installed make:amd64 4.4.1-2
2026-07-14 02:00:20 status unpacked make:amd64 4.4.1-2
2026-07-14 02:00:20 install dpkg-dev:all <none> 1.22.22
2026-07-14 02:00:20 status half-installed dpkg-dev:all 1.22.22
2026-07-14 02:00:20 status unpacked dpkg-dev:all 1.22.22
2026-07-14 02:00:20 install fonts-dejavu-mono:all <none> 2.37-8
2026-07-14 02:00:20 status half-installed fonts-dejavu-mono:all 2.37-8
2026-07-14 02:00:20 status unpacked fonts-dejavu-mono:all 2.37-8
2026-07-14 02:00:20 install fonts-dejavu-core:all <none> 2.37-8
2026-07-14 02:00:20 status half-installed fonts-dejavu-core:all 2.37-8
2026-07-14 02:00:20 status unpacked fonts-dejavu-core:all 2.37-8
2026-07-14 02:00:20 install fontconfig-config:amd64 <none> 2.15.0-2.3
2026-07-14 02:00:20 status half-installed fontconfig-config:amd64 2.15.0-2.3
2026-07-14 02:00:20 status unpacked fontconfig-config:amd64 2.15.0-2.3
2026-07-14 02:00:20 install libcc1-0:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libcc1-0:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked libcc1-0:amd64 14.2.0-19
2026-07-14 02:00:20 install libgomp1:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libgomp1:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked libgomp1:amd64 14.2.0-19
2026-07-14 02:00:20 install libitm1:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libitm1:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked libitm1:amd64 14.2.0-19
2026-07-14 02:00:20 install libatomic1:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libatomic1:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked libatomic1:amd64 14.2.0-19
2026-07-14 02:00:20 install libasan8:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libasan8:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked libasan8:amd64 14.2.0-19
2026-07-14 02:00:20 install liblsan0:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed liblsan0:amd64 14.2.0-19
2026-07-14 02:00:20 status unpacked liblsan0:amd64 14.2.0-19
2026-07-14 02:00:20 install libtsan2:amd64 <none> 14.2.0-19
2026-07-14 02:00:20 status half-installed libtsan2:amd64 14.2.0-19
2026-07-14 02:00:21 status unpacked libtsan2:amd64 14.2.0-19
2026-07-14 02:00:21 install libubsan1:amd64 <none> 14.2.0-19
2026-07-14 02:00:21 status half-installed libubsan1:amd64 14.2.0-19
2026-07-14 02:00:21 status unpacked libubsan1:amd64 14.2.0-19
2026-07-14 02:00:21 install libhwasan0:amd64 <none> 14.2.0-19
2026-07-14 02:00:21 status half-installed libhwasan0:amd64 14.2.0-19
2026-07-14 02:00:21 status unpacked libhwasan0:amd64 14.2.0-19
2026-07-14 02:00:21 install libquadmath0:amd64 <none> 14.2.0-19
2026-07-14 02:00:21 status half-installed libquadmath0:amd64 14.2.0-19
2026-07-14 02:00:21 status unpacked libquadmath0:amd64 14.2.0-19
2026-07-14 02:00:21 install libgcc-14-dev:amd64 <none> 14.2.0-19
2026-07-14 02:00:21 status half-installed libgcc-14-dev:amd64 14.2.0-19
2026-07-14 02:00:21 status unpacked libgcc-14-dev:amd64 14.2.0-19
2026-07-14 02:00:21 install gcc-14-x86-64-linux-gnu:amd64 <none> 14.2.0-19
2026-07-14 02:00:21 status half-installed gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-07-14 02:00:22 status unpacked gcc-14-x86-64-linux-gnu:amd64 14.2.0-19
2026-07-14 02:00:22 install gcc-14:amd64 <none> 14.2.0-19
2026-07-14 02:00:22 status half-installed gcc-14:amd64 14.2.0-19
2026-07-14 02:00:22 status unpacked gcc-14:amd64 14.2.0-19
2026-07-14 02:00:22 install gcc-x86-64-linux-gnu:amd64 <none> 4:14.2.0-1
2026-07-14 02:00:22 status half-installed gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-07-14 02:00:22 status unpacked gcc-x86-64-linux-gnu:amd64 4:14.2.0-1
2026-07-14 02:00:22 install gcc:amd64 <none> 4:14.2.0-1
2026-07-14 02:00:22 status half-installed gcc:amd64 4:14.2.0-1
2026-07-14 02:00:22 status unpacked gcc:amd64 4:14.2.0-1
2026-07-14 02:00:22 install gnupg-l10n:all <none> 2.4.7-21+deb13u1
2026-07-14 02:00:22 status half-installed gnupg-l10n:all 2.4.7-21+deb13u1
2026-07-14 02:00:22 status unpacked gnupg-l10n:all 2.4.7-21+deb13u1
2026-07-14 02:00:22 install gpg:amd64 <none> 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status half-installed gpg:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status unpacked gpg:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 install libncursesw6:amd64 <none> 6.5+20250216-2
2026-07-14 02:00:22 status half-installed libncursesw6:amd64 6.5+20250216-2
2026-07-14 02:00:22 status unpacked libncursesw6:amd64 6.5+20250216-2
2026-07-14 02:00:22 install pinentry-curses:amd64 <none> 1.3.1-2
2026-07-14 02:00:22 status half-installed pinentry-curses:amd64 1.3.1-2
2026-07-14 02:00:22 status unpacked pinentry-curses:amd64 1.3.1-2
2026-07-14 02:00:22 install gpg-agent:amd64 <none> 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status half-installed gpg-agent:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status unpacked gpg-agent:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 install gpgsm:amd64 <none> 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status half-installed gpgsm:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 status unpacked gpgsm:amd64 2.4.7-21+deb13u1+b4
2026-07-14 02:00:22 install gnupg:all <none> 2.4.7-21+deb13u1
2026-07-14 02:00:22 status half-installed gnupg:all 2.4.7-21+deb13u1
2026-07-14 02:00:22 status unpacked gnupg:all 2.4.7-21+deb13u1
2026-07-14 02:00:22 install libbluetooth3:amd64 <none> 5.82-1.1
2026-07-14 02:00:22 status half-installed libbluetooth3:amd64 5.82-1.1
2026-07-14 02:00:22 status unpacked libbluetooth3:amd64 5.82-1.1
2026-07-14 02:00:22 install libc-dev-bin:amd64 <none> 2.41-12+deb13u3
2026-07-14 02:00:22 status half-installed libc-dev-bin:amd64 2.41-12+deb13u3
2026-07-14 02:00:22 status unpacked libc-dev-bin:amd64 2.41-12+deb13u3
2026-07-14 02:00:22 install linux-libc-dev:all <none> 6.12.95-1
2026-07-14 02:00:22 status half-installed linux-libc-dev:all 6.12.95-1
2026-07-14 02:00:22 status unpacked linux-libc-dev:all 6.12.95-1
2026-07-14 02:00:22 install libcrypt-dev:amd64 <none> 1:4.4.38-1
2026-07-14 02:00:22 status half-installed libcrypt-dev:amd64 1:4.4.38-1
2026-07-14 02:00:22 status unpacked libcrypt-dev:amd64 1:4.4.38-1
2026-07-14 02:00:22 install rpcsvc-proto:amd64 <none> 1.4.3-1
2026-07-14 02:00:22 status half-installed rpcsvc-proto:amd64 1.4.3-1
2026-07-14 02:00:22 status unpacked rpcsvc-proto:amd64 1.4.3-1
2026-07-14 02:00:22 install libc6-dev:amd64 <none> 2.41-12+deb13u3
2026-07-14 02:00:22 status half-installed libc6-dev:amd64 2.41-12+deb13u3
2026-07-14 02:00:23 status unpacked libc6-dev:amd64 2.41-12+deb13u3
2026-07-14 02:00:23 install libbluetooth-dev:amd64 <none> 5.82-1.1
2026-07-14 02:00:23 status half-installed libbluetooth-dev:amd64 5.82-1.1
2026-07-14 02:00:23 status unpacked libbluetooth-dev:amd64 5.82-1.1
2026-07-14 02:00:23 install libbrotli1:amd64 <none> 1.1.0-2+b7
2026-07-14 02:00:23 status half-installed libbrotli1:amd64 1.1.0-2+b7
2026-07-14 02:00:23 status unpacked libbrotli1:amd64 1.1.0-2+b7
2026-07-14 02:00:23 install libbrotli-dev:amd64 <none> 1.1.0-2+b7
2026-07-14 02:00:23 status half-installed libbrotli-dev:amd64 1.1.0-2+b7
2026-07-14 02:00:23 status unpacked libbrotli-dev:amd64 1.1.0-2+b7
2026-07-14 02:00:23 install libbz2-dev:amd64 <none> 1.0.8-6
2026-07-14 02:00:23 status half-installed libbz2-dev:amd64 1.0.8-6
2026-07-14 02:00:23 status unpacked libbz2-dev:amd64 1.0.8-6
2026-07-14 02:00:23 install libdb5.3-dev:amd64 <none> 5.3.28+dfsg2-9
2026-07-14 02:00:23 status half-installed libdb5.3-dev:amd64 5.3.28+dfsg2-9
2026-07-14 02:00:23 status unpacked libdb5.3-dev:amd64 5.3.28+dfsg2-9
2026-07-14 02:00:23 install libdb-dev:amd64 <none> 5.3.4
2026-07-14 02:00:23 status half-installed libdb-dev:amd64 5.3.4
2026-07-14 02:00:23 status unpacked libdb-dev:amd64 5.3.4
2026-07-14 02:00:23 install libexpat1-dev:amd64 <none> 2.7.1-2
2026-07-14 02:00:23 status half-installed libexpat1-dev:amd64 2.7.1-2
2026-07-14 02:00:23 status unpacked libexpat1-dev:amd64 2.7.1-2
2026-07-14 02:00:23 install libffi-dev:amd64 <none> 3.4.8-2
2026-07-14 02:00:23 status half-installed libffi-dev:amd64 3.4.8-2
2026-07-14 02:00:23 status unpacked libffi-dev:amd64 3.4.8-2
2026-07-14 02:00:23 install libpng16-16t64:amd64 <none> 1.6.48-1+deb13u5
2026-07-14 02:00:23 status half-installed libpng16-16t64:amd64 1.6.48-1+deb13u5
2026-07-14 02:00:23 status unpacked libpng16-16t64:amd64 1.6.48-1+deb13u5
2026-07-14 02:00:23 install libfreetype6:amd64 <none> 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 status half-installed libfreetype6:amd64 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 status unpacked libfreetype6:amd64 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 install libfontconfig1:amd64 <none> 2.15.0-2.3
2026-07-14 02:00:23 status half-installed libfontconfig1:amd64 2.15.0-2.3
2026-07-14 02:00:23 status unpacked libfontconfig1:amd64 2.15.0-2.3
2026-07-14 02:00:23 install zlib1g-dev:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2026-07-14 02:00:23 status half-installed zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-07-14 02:00:23 status unpacked zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-07-14 02:00:23 install libpng-dev:amd64 <none> 1.6.48-1+deb13u5
2026-07-14 02:00:23 status half-installed libpng-dev:amd64 1.6.48-1+deb13u5
2026-07-14 02:00:23 status unpacked libpng-dev:amd64 1.6.48-1+deb13u5
2026-07-14 02:00:23 install libfreetype-dev:amd64 <none> 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 status half-installed libfreetype-dev:amd64 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 status unpacked libfreetype-dev:amd64 2.13.3+dfsg-1+deb13u1
2026-07-14 02:00:23 install uuid-dev:amd64 <none> 2.41-5
2026-07-14 02:00:23 status half-installed uuid-dev:amd64 2.41-5
2026-07-14 02:00:23 status unpacked uuid-dev:amd64 2.41-5
2026-07-14 02:00:23 install libpkgconf3:amd64 <none> 1.8.1-4
2026-07-14 02:00:23 status half-installed libpkgconf3:amd64 1.8.1-4
2026-07-14 02:00:23 status unpacked libpkgconf3:amd64 1.8.1-4
2026-07-14 02:00:23 install pkgconf-bin:amd64 <none> 1.8.1-4
2026-07-14 02:00:23 status half-installed pkgconf-bin:amd64 1.8.1-4
2026-07-14 02:00:23 status unpacked pkgconf-bin:amd64 1.8.1-4
2026-07-14 02:00:23 install pkgconf:amd64 <none> 1.8.1-4
2026-07-14 02:00:23 status half-installed pkgconf:amd64 1.8.1-4
2026-07-14 02:00:23 status unpacked pkgconf:amd64 1.8.1-4
2026-07-14 02:00:24 install libfontconfig-dev:amd64 <none> 2.15.0-2.3
2026-07-14 02:00:24 status half-installed libfontconfig-dev:amd64 2.15.0-2.3
2026-07-14 02:00:24 status unpacked libfontconfig-dev:amd64 2.15.0-2.3
2026-07-14 02:00:24 install libfontconfig1-dev:amd64 <none> 2.15.0-2.3
2026-07-14 02:00:24 status half-installed libfontconfig1-dev:amd64 2.15.0-2.3
2026-07-14 02:00:24 status unpacked libfontconfig1-dev:amd64 2.15.0-2.3
2026-07-14 02:00:24 install libgdbm-dev:amd64 <none> 1.24-2
2026-07-14 02:00:24 status half-installed libgdbm-dev:amd64 1.24-2
2026-07-14 02:00:24 status unpacked libgdbm-dev:amd64 1.24-2
2026-07-14 02:00:24 install liblzma-dev:amd64 <none> 5.8.1-1+deb13u1
2026-07-14 02:00:24 status half-installed liblzma-dev:amd64 5.8.1-1+deb13u1
2026-07-14 02:00:24 status unpacked liblzma-dev:amd64 5.8.1-1+deb13u1
2026-07-14 02:00:24 install libncurses6:amd64 <none> 6.5+20250216-2
2026-07-14 02:00:24 status half-installed libncurses6:amd64 6.5+20250216-2
2026-07-14 02:00:24 status unpacked libncurses6:amd64 6.5+20250216-2
2026-07-14 02:00:24 install libncurses-dev:amd64 <none> 6.5+20250216-2
2026-07-14 02:00:24 status half-installed libncurses-dev:amd64 6.5+20250216-2
2026-07-14 02:00:24 status unpacked libncurses-dev:amd64 6.5+20250216-2
2026-07-14 02:00:24 install libreadline-dev:amd64 <none> 8.2-6
2026-07-14 02:00:24 status half-installed libreadline-dev:amd64 8.2-6
2026-07-14 02:00:24 status unpacked libreadline-dev:amd64 8.2-6
2026-07-14 02:00:24 install libsqlite3-dev:amd64 <none> 3.46.1-7+deb13u1
2026-07-14 02:00:24 status half-installed libsqlite3-dev:amd64 3.46.1-7+deb13u1
2026-07-14 02:00:24 status unpacked libsqlite3-dev:amd64 3.46.1-7+deb13u1
2026-07-14 02:00:24 install libssl-dev:amd64 <none> 3.5.6-1~deb13u2
